article_type.code;article.code;article.description;article.commentaire;article.collection
C;BIL089296AG/BIL;AMOR AMOR & MIMOSA - 30 - 0.7% SHAMPOO;12029878AG;1
C;BIL089418AC/BIL;MARRY ME - 15 - 0.3% FACE CREAM;12030218AC;1
C;BIL089418AC/BIL;MARRY ME - 15 - 0.3% FACE CREAM;12030218AC;1
C;BIL089418AC/BIL;MARRY ME - 15 - 0.3% FACE CREAM;12030218AC;1
C;BIL089418BB/BIL;MARRY ME - 38 - 0.3% FACE CREAM;12030218BB;1
C;BIL090109T/BIL;TUTTI KIWI - 19 - 0.7% SHAMPOO;12029879T;1
C;BIL090368J/BIL;DOT CHERRY - D12 - 0.8% SHAMPOO;12030744J;1
C;BIL090440A/BIL;HONEYSUCKLE - 2 - 0.5%PERM;12030030A;1
C;BIL090442Z/BIL;OLAY REFRESHING - 24 - 0.7% AEROSOL;12058175Z;1
C;BIL090603G/BIL;MOJITO - C11 - 0.6% SHAMPOO;12052548G;1
C;BIL090603L/BIL;MOJITO - 16 - 0.7% SHAMPOO;12052548L;1
C;BIL090830AS/BIL;MANDARINE BASILIC - AL11-18 - 0.6% SHAMPOO    EFR-;12030953AS;1
C;BIL090830CO/BIL;MANDARINE BASILIC - 61 - 0.4% HAIR STYLING;12030953CO;1
C;BIL090830CO/BIL;MANDARINE BASILIC - 61 - 0.4% HAIR STYLING;12030953CO;1
C;BIL091788AA/BIL;CANDY RIZ - R21/1 - 0,7% SHAMPOO;12031398AA;1
C;BIL091789AH/BIL;WELLA PRO SERIES - 35 - 0.5% SHAMPOO;12031399AH;1
C;BIL091789E/BIL;WELLA PRO SERIES - D5 - 0.8% SHAMPOO;12031399E;1
C;BIL091919BD/BIL;EAU TROPICALE - AY48 - 0.8% SHAMPOO;12030358BD;1
C;BIL091920P/BIL;OCEAN LOUNGE - K17 - 0.7% SHAMPOO;12049890P;1
C;BIL091920V/BIL;OCEAN LOUNGE - U21 - 0.5% COLO PERM;12049890V;1
C;BIL092249F/BIL;FORMULE R&D - 6 - 0.4% CONDITIONER;12051264F;1
C;BIL092253D/BIL;EAU D'ORANGE VERTE - 5 - 3% BODY MIST;12061575D;1
C;BIL092254I/BIL;PANTENE CHINE + WATERMELON - 9 - 0.7% SHAMPOO;12054712I;1
C;BIL092273S/BIL;HERBAL ESSENCES COLOR ME HAPPY - Q19 - 0.8%SHAMPOO;12041983S;1
C;BIL111504AE/BIL;SUNSILK BLACK SHINE - 29 - 1% COLO PERM;12042072AE;1
C;BIL111504D/BIL;SUNSILK BLACK SHINE - 5 - 0.7% SHAMPOO;12042072D;1
C;BIL161836S/BIL;MONOI MONOP - 19 - 0.7% SHAMPOO;12054707S;1
C;BIL181159M/BIL;PÄLLADIUM - 14 - 0.4% SHAMPOO;12050887M;1
C;BIL181416B/BIL;EXTRA VIEILLE - 3 - 3%PP;12061445B;1
C;BIL181770H/BIL;KENZO SUMMER 2005 - 9 - 0.7% SHAMPOO;12049924H;1
C;BIL182205F/BIL;DOP ABRICOT - E7 - 0.7% SHAMPOO;12062006F;1
C;BIL182210AD/BIL;PINKY LUNE - 27 - 0.7% SHAMPOO;12052549AD;1
C;BIL182212T/BIL;POUDRE D'AMANDE - 20 - 0.7% SHAMPOO;12050921T;1
C;BIL182212V/BIL;POUDRE D'AMANDE - 22 - 0.7% SHAMPOO;12050921V;1
C;BIL183213B/BIL;IRIS ECLAIR - 3 - 1% SHOWER GEL;12051250B;1
C;BIL226717A/BIL;A FLEUR D'IRIS - 0.3%FT184 - ECOCERT-;12055977A;1
C;BIL228382B/BIL;FLEUR DE SAFRAN - 3%FT297 RW IFSPIC002H;12057538B;1
C;BIL228563F/BIL;BOIS DE 100 ANS - 6 - 0.5% SHOWER GEL;12057292F;1
C;BIL228563G/BIL;BOIS DE 100 ANS - 7 - 0.5% SHOWER GEL ECOCERT;12057292G;1
C;BIL228989A/BIL;ORANGETTE - 2 -1% SHOWER GEL ECOCERT;12056251A;1
C;BIL228990D/BIL;CERISE MENTHE - 4  - 1% SHOWER GEL ECOCERT;12056811D;1
C;BIL232075D/BIL;LILAC IN BOX - 5 - 0.3% SHOWER GEL;12058036D;1
C;BIL232748D/BIL;ONE MILLION - 5 - 0.4% BODY LOTION;12060611D;1
C;BIL232748E/BIL;ONE MILLION - 6 - 0.3% SHOWER GEL;12060611E;1
C;BIL232814R/BIL;ELSEVE VOLUME COLLAGENE - 14 - 0.4% SHAMPOO;12060644R;1
C;BIL232814U/BIL;ELSEVE VOLUME COLLAGENE - E7/7 - 0.7% SHAMPOO;12060644U;1
C;BIL233146I/BIL;SAPIN DE NOEL - 8 - 0.5% SHOWER GEL;12061366I;1
C;BIL233146J/BIL;SAPIN DE NOEL - 9 - 0.5% SHOWER GEL ECOCERT;12061366J;1
C;BIL233152E/BIL;KERASTASE ELIXIR ULTIME - C4 - 0.8% COLO PERM;12061056E;1
